e4:5f:01:63:71:64>6,3;e4:5f:01:63:71:e5>3,9.6;e4:5f:01:63:71:55>-7,8.7;e4:5f:01:63:71:b5>0,0;e4:5f:01:63:71:a3>-7.2,17.2
0,1.2&e4:5f:01:63:71:b5,-66;-68;-69;-66;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-66;-66;-66;-66;-66;-66;-65;-66;-65;-64;-66;-66;-66;-66;-67;-66;-66;-66;-66;-66;-67
0,2.4&e4:5f:01:63:71:b5,-66;-66;-66;-67;-63;-62;-62;-66;-65;-67;-67;-67;-65;-66;-66;-65;-65;-64;-64;-64;-64;-65;-65;-64;-64;-65;-65;-65;-65;-65;-66;-66;-66;-65;-65;-64
0,3.6&e4:5f:01:63:71:b5,-68;-71;-69;-71;-71;-68;-69;-70;-71;-71;-70;-73;-74;-73;-72;-73;-73;-75;-74;-73;-73;-73;-73;-73;-73;-74;-73;-73;-72;-73;-74
0,4.8&e4:5f:01:63:71:b5,-83;-73;-71;-77;-84;-80;-78;-73;-72;-71;-72;-72;-72;-79;-80;-81;-78;-77;-76;-89;-79;-70;-69;-69;-75;-81;-82;-81;-80;-79;-80
0,6&e4:5f:01:63:71:b5,-84;-77;-78;-72;-74;-71;-72;-72;-72;-72;-72;-74;-74;-78;-74;-69;-72;-70;-75;-77;-73;-74;-75;-75;-75;-76
0,7.2&e4:5f:01:63:71:b5,-76;-77;-77;-73;-71;-71;-71;-69;-69;-69;-70;-71;-71;-70;-70;-70;-70;-70;-70;-70;-70;-69;-70;-70;-69;-69;-69;-69;-69
0,8.4&e4:5f:01:63:71:b5,-74;-77;-77;-76;-75;-75;-74;-74;-75;-76;-77;-78;-77;-77;-79;-80;-80;-76;-75;-74;-75;-75;-75;-75;-75;-72;-72;-72;-72;-71;-71;-72;-72;-72;-72;-72
0,9.6&e4:5f:01:63:71:b5,-70;-70;-69;-71;-72;-72;-73;-72;-73;-72;-72;-72;-72;-72;-72;-71;-72;-72;-72;-71;-71
0,10.8&e4:5f:01:63:71:b5,-69;-74;-74;-80;-82;-76;-84;-89;-88;-85;-86;-84;-87;-80;-83;-79;-79;-79;-79;-79;-78;-79;-79;-79;-80;-90;-84;-81;-83;-83;-82
0,12&e4:5f:01:63:71:b5,-82;-77;-77;-88;-77;-83;-74;-85;-72;-72;-76;-78;-94;-81;-81;-81;-87;-89;-84;-83;-83;-81;-81
