e4:5f:01:63:71:64>15,15;e4:5f:01:63:71:e5>0,20;e4:5f:01:63:71:55>10,0;e4:5f:01:63:71:b5>30,10;e4:5f:01:63:71:a3>20,30
0,2.5&e4:5f:01:63:71:64,-94;-95;-98;-98;-95;-96;-95;-94;-95;-95
0,5&e4:5f:01:63:71:64,-93;-94;-95;-93;-92;-91;-93;-94;-94;-95;-97;-97;-93;-92;-92;-92;-92;-93;-94;-93;-95;-96;-95;-94;-95;-95;-93;-92;-92;-91;-93;-93;-92;-91;-91
0,7.5&e4:5f:01:63:71:64,-88;-88;-88;-87;-88;-90;-90;-89;-90;-89;-87;-88;-87;-88;-89;-90;-93;-95;-93;-91;-91;-91;-90;-92;-89
0,10&e4:5f:01:63:71:64,-90;-90;-89;-89;-92;-91;-89;-91;-91;-94;-93;-92;-93;-94;-93;-93;-93;-93;-93;-92;-92;-92;-93;-90;-90;-90;-91;-90
0,12.5&e4:5f:01:63:71:64,-85;-86;-86;-86;-87;-86;-87;-86;-86;-85;-86;-84;-83;-83;-83;-83;-83;-84;-84;-83;-84;-83;-83;-83;-84;-83;-83;-83;-84;-84;-84;-84;-83;-83;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84
0,15&e4:5f:01:63:71:64,-90;-88;-88;-86;-85;-86;-86;-86;-87;-87;-85;-84;-84;-84;-84;-84;-84;-84;-85;-84;-85;-86;-87;-86;-89;-86;-87;-92;-91;-91;-89;-89;-86;-85;-85;-84;-85;-85
0,17.5&e4:5f:01:63:71:64,-88;-88;-87;-87;-88;-88;-87;-87;-88;-88;-87;-88;-87;-88;-87;-87;-87;-86;-87;-87;-87;-88;-87;-86;-87;-87;-88;-87;-88;-88;-86;-88;-88;-88;-87;-88;-88;-88;-87;-88;-87;-88;-89;-88;-89;-89;-89;-89;-89
0,20&e4:5f:01:63:71:64,-87;-90;-91;-91;-90;-90;-90;-89;-89;-89;-89;-88;-89;-89;-90;-89;-90;-89;-90;-90;-90;-90;-89;-89;-90;-89;-89;-89;-90;-89;-89;-88;-89;-88;-89;-89;-89;-89;-89;-89;-90;-90;-90;-90;-89
0,22.5&e4:5f:01:63:71:64,-88;-91;-93;-91;-95;-98;-97;-97;-98;-93;-89;-91;-90;-90;-90;-90;-92;-97;-95;-99;-98;-96;-97
0,25&e4:5f:01:63:71:64,-94;-94;-92;-92;-92;-93;-98;-96;-94;-94;-95;-95;-95;-94;-95;-95;-94;-94;-95;-94;-96;-97;-95;-96;-100;-98;-97;-97;-97
0,27.5&e4:5f:01:63:71:64,-94;-93;-93;-94;-95
0,30&e4:5f:01:63:71:64,-95;-95;-93;-93;-94;-97;-97;-97;-97;-96;-96;-97;-96;-98
2.5,27.5&e4:5f:01:63:71:64,-95;-95;-96;-96;-96;-97;-96;-97
2.5,25&e4:5f:01:63:71:64,-94;-95;-96;-96;-96;-94;-92;-92;-90;-91;-91;-90;-91;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-91;-91;-91;-91;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90
2.5,22.5&e4:5f:01:63:71:64,-89;-88;-89;-88;-91;-91;-91;-90;-89;-87;-89;-88;-87;-87;-89;-91;-89;-89;-89;-88;-89;-88;-88;-88;-88;-89;-89;-88;-89;-89;-89;-88;-91;-90;-88;-89;-91;-93;-90;-89;-89;-91;-90;-90;-89;-90;-90;-89;-89;-89
2.5,20&e4:5f:01:63:71:64,-91;-93;-92;-92;-92;-92;-92;-93;-92;-92;-92;-93;-92;-94;-93;-92;-92;-93;-93;-93;-92;-92;-91;-93;-93;-93;-93;-93;-93;-92;-92;-92;-91;-92;-92;-92;-92;-93;-92;-91;-92;-92
