e4:5f:01:63:71:64>7.5,5;e4:5f:01:63:71:e5>0,10;e4:5f:01:63:71:55>15,0;e4:5f:01:63:71:b5>15,10;e4:5f:01:63:71:a3>0,0
0,0&e4:5f:01:63:71:a3,-55;-55;-55;-55;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56
0,2&e4:5f:01:63:71:a3,-92;-87;-83;-83;-87;-98;-97;-92;-91;-95
0,2&e4:5f:01:63:71:a3,-84;-81;-81;-80;-80;-80;-81;-79;-83;-81;-82;-81
0,4&e4:5f:01:63:71:a3,-84;-84;-85;-85;-86;-86;-86;-85;-85;-86;-86;-87;-87;-83;-83;-84;-84;-84;-84;-84;-84;-84;-84;-84;-85;-85;-85;-84
0,6&e4:5f:01:63:71:a3,-92;-92;-92;-92;-95;-95;-94;-93;-94;-93;-93;-92;-91;-92;-91;-91
0,8&e4:5f:01:63:71:a3,-98;-97;-98;-94;-95;-96;-97;-97;-97;-98;-97
0,10&e4:5f:01:63:71:a3,-97;-96;-95;-94;-95;-95;-93;-96;-96
2,0&e4:5f:01:63:71:a3,-68;-70;-70;-70;-71;-74;-82;-79;-74;-72;-72;-72;-71;-70;-71;-71;-71;-71;-71;-70;-70;-70;-70;-70;-70;-70
2,2&e4:5f:01:63:71:a3,-77;-76;-80;-80;-80;-80;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79
2,4&e4:5f:01:63:71:a3,-95;-94;-93;-94;-93;-94;-94;-96;-95;-97;-98;-97;-97;-96;-95;-95;-96;-95;-95;-95;-95;-96;-96;-95;-94;-94;-94;-93
2,6&e4:5f:01:63:71:a3,-103;-100;-98;-96;-96
2,8&e4:5f:01:63:71:a3,-97
4,0&e4:5f:01:63:71:a3,-74;-75;-75;-75;-75;-75;-75;-75;-75;-75;-76;-76;-76;-76;-76;-76;-75;-76;-75;-75;-76;-76
4,2&e4:5f:01:63:71:a3,-76;-75;-75;-76;-76;-76;-75;-75;-75;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-77;-77;-76;-76;-76;-76;-76
4,4&e4:5f:01:63:71:a3,-87;-89;-90;-89;-86;-91;-89;-89;-89;-88;-88;-88;-92;-91;-90;-90;-90;-89;-89;-91;-92;-93;-92;-91;-92;-93;-94;-92;-90;-90
4,6&e4:5f:01:63:71:a3,-94;-94;-95;-96
4,8&e4:5f:01:63:71:a3,-95;-100;-97;-96;-97;-95
4,10&e4:5f:01:63:71:a3,-95;-96
6,0&e4:5f:01:63:71:a3,-78;-78;-79;-80;-79;-79;-79;-79;-79;-79;-79;-80;-79;-79;-79;-79;-80;-80
6,2&e4:5f:01:63:71:a3,-83;-82;-80;-78;-78;-77;-77;-78;-78;-78;-79;-79;-79;-79;-79;-80;-79;-79
6,4&e4:5f:01:63:71:a3,-86;-86;-85;-85;-85;-86;-85;-85;-85;-86;-86;-88
6,6&e4:5f:01:63:71:a3,-98;-98;-97
6,10&e4:5f:01:63:71:a3,-100;-96;-96
8,0&e4:5f:01:63:71:a3,-88;-90
8,2&e4:5f:01:63:71:a3,-80;-79;-79;-78;-79;-79;-79;-79;-80;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-81;-87;-84;-82;-82
8,4&e4:5f:01:63:71:a3,-84;-83;-83;-85;-92;-86;-85;-84;-84;-84;-84;-85;-84;-85;-85;-84;-84;-84;-84;-83;-84;-84;-84;-84;-84;-84;-84;-84;-85
8,6&e4:5f:01:63:71:a3,-91
8,8&e4:5f:01:63:71:a3,-98
8,10&e4:5f:01:63:71:a3,-95;-99
10,8&e4:5f:01:63:71:a3,-97;-96;-97;-99;-100;-100
